source_id	gene_set	gene_name	score
Groningen2017	MES	LPP	
Groningen2017	MES	LRP10	
Groningen2017	MES	LRRC17	
Groningen2017	MES	LRRC8C	
Groningen2017	MES	LTBP1	
Groningen2017	MES	LUZP1	
Groningen2017	MES	MAGT1	
Groningen2017	MES	MAML2	
Groningen2017	MES	MAN2A1	
Groningen2017	MES	MANF	
Groningen2017	MES	MBD2	
Groningen2017	MES	MBNL1	
Groningen2017	MES	MBTPS1	
Groningen2017	MES	MEOX1	
Groningen2017	MES	MEOX2	
Groningen2017	MES	MEST	
Groningen2017	MES	MGAT2	
Groningen2017	MES	MGP	
Groningen2017	MES	MGST1	
Groningen2017	MES	MICAL2	
Groningen2017	MES	MMP2	
Groningen2017	MES	MOB1A	
Groningen2017	MES	MRC2	
Groningen2017	MES	MXRA5	
Groningen2017	MES	MYADM	
Groningen2017	MES	MYDGF	
Groningen2017	MES	MYL12A	
Groningen2017	MES	MYL12B	
Groningen2017	MES	MYLIP	
Groningen2017	MES	NANS	
Groningen2017	MES	NBR1	
Groningen2017	MES	NEK7	
Groningen2017	MES	NES	
Groningen2017	MES	NFIA	
Groningen2017	MES	NFIC	
Groningen2017	MES	NID1	
Groningen2017	MES	NID2	
Groningen2017	MES	NOTCH2	
Groningen2017	MES	NOTCH2NL	
Groningen2017	MES	NPC2	
Groningen2017	MES	NPTN	
Groningen2017	MES	NQO1	
Groningen2017	MES	NR3C1	
Groningen2017	MES	NRP1	
Groningen2017	MES	OGFRL1	
Groningen2017	MES	OLFML2A	
Groningen2017	MES	OLFML2B	
Groningen2017	MES	OLFML3	
Groningen2017	MES	OSTC	
Groningen2017	MES	P4HA1	
Groningen2017	MES	PALLD	
Groningen2017	MES	PAPSS2	
Groningen2017	MES	PCDH18	
Groningen2017	MES	PCOLCE2	
Groningen2017	MES	PCSK5	
Groningen2017	MES	PDE3A	
Groningen2017	MES	PDE7B	
Groningen2017	MES	PDGFC	
Groningen2017	MES	PDIA3	
Groningen2017	MES	PDIA4	
Groningen2017	MES	PDIA6	
Groningen2017	MES	PDLIM1	
Groningen2017	MES	PEA15	
Groningen2017	MES	PEAK1	
Groningen2017	MES	PHLDA3	
Groningen2017	MES	PHLDB2	
Groningen2017	MES	PHTF2	
Groningen2017	MES	PIAS3	
Groningen2017	MES	PLAGL1	
Groningen2017	MES	PLEKHA2	
Groningen2017	MES	PLEKHH2	
Groningen2017	MES	PLK2	
Groningen2017	MES	PLOD2	
Groningen2017	MES	PLOD3	
Groningen2017	MES	PLPP1	
Groningen2017	MES	PLS3	
Groningen2017	MES	PLSCR1	
Groningen2017	MES	PLSCR4	
Groningen2017	MES	PLXDC2	
Groningen2017	MES	POLR2L	
Groningen2017	MES	PON2	
Groningen2017	MES	POSTN	
Groningen2017	MES	PPIB	
Groningen2017	MES	PPIC	
Groningen2017	MES	PPT1	
Groningen2017	MES	PRCP	
Groningen2017	MES	PRDM6	
Groningen2017	MES	PRDX4	
Groningen2017	MES	PRDX6	
Groningen2017	MES	PROM1	
Groningen2017	MES	PRRX1	
Groningen2017	MES	PTBP1	
Groningen2017	MES	PTGER4	
Groningen2017	MES	PTGFRN	
Groningen2017	MES	PTN	
Groningen2017	MES	PTPN14	
Groningen2017	MES	PTPRG	
Groningen2017	MES	PTPRK	
Groningen2017	MES	PTRF	
Groningen2017	MES	PXDC1	
Groningen2017	MES	PXDN	
Groningen2017	MES	PYGL	
Groningen2017	MES	QKI	
Groningen2017	MES	QSOX1	
Groningen2017	MES	RAB13	
Groningen2017	MES	RAB29	
Groningen2017	MES	RAB31	
Groningen2017	MES	RAP1A	
Groningen2017	MES	RAP1B	
Groningen2017	MES	RBMS1	
Groningen2017	MES	RCN1	
Groningen2017	MES	RECK	
Groningen2017	MES	REST	
Groningen2017	MES	RGL1	
Groningen2017	MES	RGS10	
Groningen2017	MES	RGS3	
Groningen2017	MES	RHOC	
Groningen2017	MES	RHOJ	
Groningen2017	MES	RIN2	
Groningen2017	MES	RIT1	
Groningen2017	MES	RNFT1	
Groningen2017	MES	RNH1	
Groningen2017	MES	ROBO1	
Groningen2017	MES	ROR1	
Groningen2017	MES	RRBP1	
Groningen2017	MES	S1PR3	
Groningen2017	MES	SASH1	
Groningen2017	MES	SCPEP1	
Groningen2017	MES	SCRG1	
Groningen2017	MES	SDC2	
Groningen2017	MES	SDC4	
Groningen2017	MES	SDCBP	
Groningen2017	MES	SDF4	
Groningen2017	MES	SEC14L1	
Groningen2017	MES	SEL1L3	
Groningen2017	MES	SEMA3C	
Groningen2017	MES	SEMA3F	
Groningen2017	MES	SEPT10	
Groningen2017	MES	SERPINE2	
Groningen2017	MES	SERPINH1	
Groningen2017	MES	SFT2D1	
Groningen2017	MES	SFT2D2	
Groningen2017	MES	SGK1	
Groningen2017	MES	SH3BGRL	
Groningen2017	MES	SHC1	
Groningen2017	MES	SHROOM3	
Groningen2017	MES	SIX1	
Groningen2017	MES	SIX4	
Groningen2017	MES	SKIL	
Groningen2017	MES	SLC16A4	
Groningen2017	MES	SLC30A1	
Groningen2017	MES	SLC30A7	
Groningen2017	MES	SLC35F5	
Groningen2017	MES	SLC38A2	
Groningen2017	MES	SLC38A6	
Groningen2017	MES	SLC39A14	
Groningen2017	MES	SMAD3	
Groningen2017	MES	SNAI2	
Groningen2017	MES	SNAP23	
Groningen2017	MES	SOSTDC1	
Groningen2017	MES	SOX9	
Groningen2017	MES	SPARC	
Groningen2017	MES	SPARCL1	
Groningen2017	MES	SPATA20	
Groningen2017	MES	SPCS3	
Groningen2017	MES	SPRED1	
Groningen2017	MES	SPRY1	
Groningen2017	MES	SPRY4	
Groningen2017	MES	SPRY4-IT1	
Groningen2017	MES	SQSTM1	
Groningen2017	MES	SRPX	
Groningen2017	MES	SSBP4	
Groningen2017	MES	SSR1	
Groningen2017	MES	SSR3	
Groningen2017	MES	STAT1	
Groningen2017	MES	STAT3	
Groningen2017	MES	STEAP1	
Groningen2017	MES	STK38L	
Groningen2017	MES	SUCLG2	
Groningen2017	MES	SURF4	
Groningen2017	MES	SVIL	
Groningen2017	MES	SYDE1	
Groningen2017	MES	SYNJ2	
Groningen2017	MES	SYPL1	
Groningen2017	MES	TCF7L2	
Groningen2017	MES	TFE3	
Groningen2017	MES	TFPI	
Groningen2017	MES	TGFB1I1	
Groningen2017	MES	TGFBR2	
Groningen2017	MES	THBS1	
Groningen2017	MES	TIMP1	
Groningen2017	MES	TJP1	
Groningen2017	MES	TM4SF1	
Groningen2017	MES	TM9SF2	
Groningen2017	MES	TMBIM4	
Groningen2017	MES	TMED9	
Groningen2017	MES	TMEFF2	
Groningen2017	MES	TMEM263	
Groningen2017	MES	TMEM50A	
Groningen2017	MES	TMEM87B	
Groningen2017	MES	TNC	
Groningen2017	MES	TNFRSF12A	
Groningen2017	MES	TNFRSF1A	
Groningen2017	MES	TNMD	
Groningen2017	MES	TNS1	
Groningen2017	MES	TOR1AIP1	
Groningen2017	MES	TPBG	
Groningen2017	MES	TPM1	
Groningen2017	MES	TPM2	
Groningen2017	MES	TRAM1	
Groningen2017	MES	TRAM2	
Groningen2017	MES	TRIL	
Groningen2017	MES	TRIM5	
Groningen2017	MES	TSC22D2	
Groningen2017	MES	TSC22D3	
Groningen2017	MES	TSPAN4	
Groningen2017	MES	TUBB6	
Groningen2017	MES	TWSG1	
